model_type,lr,optimizer,train_loss,val_loss,final_train_loss,final_val_loss
NoBN,0.001,adam,"[1.4126789968953168, 0.9517976993188596, 0.815917406519155, 0.7421290247034551, 0.6879016787482616, 0.6586628695229937, 0.6147929689384756, 0.6082109748536809, 0.5779055243827161, 0.5649221141699544]","[1.0201207666203034, 0.8739047036614529, 0.8327326741675998, 0.8102492864222027, 0.7816299287558988, 0.7368125864412896, 0.7409182166637376, 0.6994431309921797, 0.7080648487303839, 0.6981275188628324]",0.5649221141699544,0.6981275188628324
NoBN,0.001,momentum,"[1.9109197461099696, 1.3864884609890697, 1.1676042175055146, 1.0487351731915129, 0.9728385218955632, 0.9156225440359472, 0.8700790745659065, 0.8326728508582436, 0.7990595356856202, 0.7689723874491052]","[1.5715905369021173, 1.2606049081267312, 1.1162368339854618, 1.0386385309488275, 0.9694863310040429, 0.929566178730754, 0.890173502006503, 0.8579793331581492, 0.8324551529489285, 0.806671908341868]",0.7689723874491052,0.806671908341868
NoBN,0.01,adam,"[2.250666468592356, 1.4317945719805738, 1.5305887054178187, 1.5999652339781907, 1.5902627177369268, 1.6707971952205287, 1.4200250073858627, 1.4689965938169165, 1.439166183966651, 1.6095996690064]","[1.3764076600241106, 1.4218153717905977, 1.6217696152107661, 1.610086448663889, 2.192166268132454, 1.3580470395296118, 1.6583532309809397, 1.7705661541847295, 1.6245871874135593, 1.9403561476704687]",1.6095996690064,1.9403561476704687
NoBN,0.01,momentum,"[1.3277895604434453, 0.9150182234304505, 0.7867578833626393, 0.7113412727887494, 0.6734380902643513, 0.639133932296549, 0.6073064184991499, 0.5855743002304412, 0.5598954547410296, 0.5528678578182944]","[1.0223318201511404, 0.8639997259475464, 0.8227893075970716, 0.75088914007295, 0.7371227544580781, 0.7745040512188922, 0.7588528423288534, 0.6708673665429964, 0.72536664473456, 0.6709266414129457]",0.5528678578182944,0.6709266414129457
BN,0.001,adam,"[1.4663131781052472, 1.0356348726963462, 0.9047636494523569, 0.8319709502030489, 0.7783194334058096, 0.7512469214022606, 0.715606189688245, 0.6926233610161522, 0.6706160455942154, 0.6571257617928441]","[1.1158808159620264, 0.9601248450750528, 0.9127282517593961, 0.8238601336298987, 0.7933613793967769, 0.7863468526061191, 0.7332143948175186, 0.7221231398194335, 0.7217210730494454, 0.7131037877569365]",0.6571257617928441,0.7131037877569365
BN,0.001,momentum,"[1.610108307026271, 1.1042687681101802, 0.9686022470716824, 0.885788020424712, 0.8240486111426889, 0.7865137121549568, 0.7444989742929501, 0.7100574974332962, 0.6865878847992034, 0.6667011893003659]","[1.1910585048933362, 1.0269025416914808, 0.9494794219039208, 0.8693933138667151, 0.82376535358124, 0.7874941790346489, 0.7655988213454568, 0.7331986430772516, 0.7177228693698727, 0.7154666735509108]",0.6667011893003659,0.7154666735509108
BN,0.01,adam,"[1.5503993479539628, 1.101531020052118, 0.9820229880084421, 0.8980807973782617, 0.8549922399613031, 0.8177772100057983, 0.7965791139222143, 0.7670834453548874, 0.7475999524245536, 0.7319281493264838]","[1.1242614558269812, 0.9984958627542784, 0.954003188152646, 0.8856229821090088, 0.8548277273427608, 0.8184709885092669, 0.8518527358943639, 0.7548928937419902, 0.7596350443051305, 0.7346122724025749]",0.7319281493264838,0.7346122724025749
BN,0.01,momentum,"[1.4524646466806939, 1.0468389975311156, 0.9196528061815628, 0.8486361917935108, 0.7945577690651886, 0.7523593357822247, 0.7304996253174737, 0.6909444847160444, 0.6701531577437299, 0.6558322968922946]","[1.09313568784747, 0.9627983157717904, 0.9198679083655047, 0.8271210288932157, 0.8069965095194274, 0.7759827669103478, 0.7537970566299073, 0.7069697835764219, 0.6840578537694243, 0.7277610843438048]",0.6558322968922946,0.7277610843438048
